clause_id,section_id,document_id,label,text,source_page,source_document
ES-C2.3.1.2(4),ES-S2.3.1,DOC-ES,"School Official, outsourcing condition 4",Meets the criteria specified in the school’s annual notification of FERPA rights for being a school official with a legitimate educational interest in the education records.,3,"SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
ES-C2.3.2.1,ES-S2.3.2,DOC-ES,"Seeks or Intends to Enroll, paragraph 1","Another exception to FERPA’s general consent requirement permits a school to disclose PII from an eligible student’s education records, without consent, to another school in which the student seeks or intends to enroll, or where the student is already enrolled, as long as the purpose of the disclosure is related to the student’s enrollment or transfer. A school that discloses education records under this exception must make a reasonable attempt to notify the eligible student of the disclosure, unless the disclosure is initiated by the student, or the school’s annual notification of rights under FERPA includes a notice that it forwards education records to other schools that have requested the records and in which the student seeks or intends to enroll or is already enrolled, as long as the disclosure is for purposes related to the student’s enrollment or transfer. A school that discloses education records under this exception also must provide the student, upon request, a copy of the records that were disclosed and, upon request, an opportunity for a hearing to amend the records that were disclosed. Under this exception, a school has the discretion to disclose academic, disciplinary, or any other PII from the student’s education records to the new school. Further, an eligible student does not, under FERPA, have the right to prevent a school from disclosing such PII from the student’s education records, or from communicating information about a student more generally, to the school in which the student seeks or intends to enroll.",3-4,"SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
ES-C2.3.3.1,ES-S2.3.3,DOC-ES,"Directory Information, paragraph 1","FERPA also permits a school to disclose PII from an eligible student’s education records, without consent, when such information has been appropriately designated as “directory information,” and the eligible student has not opted out of the disclosure of such designated information. The FERPA regulations define “directory information” as information in a student’s education record that would not generally be considered harmful or an invasion of privacy if disclosed. Directory information may include information such as the student’s name, address, telephone number, email address, photograph, date and place of birth, major field of study, grade level, enrollment status (e.g., undergraduate or graduate, full-time or part-time), dates of attendance (i.e., the period of time during which the student attends or attended the school), participation in officially recognized activities and sports, weight and height of members of athletic teams, degrees, honors and awards received, and the most recent school attended. FERPA provides that a school may disclose, without consent, directory information if the school has given public notice to eligible students of the types of PII that it has designated as directory information and the process, including period of time, for eligible students to opt out of certain directory information disclosures. This notice is often included in the annual notification discussed below. For more information regarding directory information, visit https://studentprivacy.ed.gov/training/b-cs-student-directory-information.",4,"SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
ES-C2.3.4.1,ES-S2.3.4,DOC-ES,"Dependent Student, paragraph 1","FERPA provides ways in which a school may share, without the consent of an eligible student, education records of the eligible student with their parents. Schools may, but are not required to, disclose any and all PII from education records to parents, without the consent of the eligible student, if the student is a “dependent student,” as that term is defined in Section 152 of the Internal Revenue Code. Generally, if either parent has claimed the student as a dependent on the parent’s most recent income tax return, a school may disclose the student’s education records to either parent, without the eligible student’s consent.",4,"SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
ES-C2.3.4.2,ES-S2.3.4,DOC-ES,"Dependent Student, paragraph 2","This exception to FERPA’s general consent rule, where applicable, also permits institutions of postsecondary education to share, without the prior written consent of an eligible student, PII from education records of students who are enrolled in both a high school and the college or university (dually enrolled) with the parents of such dually enrolled students. In this situation, the parents retain the rights over the student’s education records maintained by the high school, if the student is under the age of 18 years, but the student retains the rights over the education records maintained by the college or university.",4-5,"SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
ES-C2.3.5.0,ES-S2.3.5,DOC-ES,"Other Exceptions, lead-in","Provided certain conditions are met that are not included in the summary below, other exceptions to FERPA’s general consent requirement that permit the disclosure of PII from education records include, but are not limited to:",5,"SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
ES-C2.3.5.1,ES-S2.3.5,DOC-ES,"Other Exceptions, bullet 1","To authorized representatives of, among others, the U.S. Secretary of Education, as well as State and local educational authorities, for audit or evaluation of Federal- or State-supported education programs, or for the enforcement of or compliance with Federal legal requirements that relate to those programs;",5,"SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
ES-C2.3.5.2,ES-S2.3.5,DOC-ES,"Other Exceptions, bullet 2",In connection with financial aid for which the student has applied or received;,5,"SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
ES-C2.3.5.3,ES-S2.3.5,DOC-ES,"Other Exceptions, bullet 3","To organizations conducting studies for, or on behalf of, the school for the purposes of administering predictive tests, administering student aid programs, or improving instruction;",5,"SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
ES-C2.3.5.4,ES-S2.3.5,DOC-ES,"Other Exceptions, bullet 4",To the victim of an alleged perpetrator of a crime of violence or a non-forcible sex offense concerning the final results of a disciplinary hearing conducted by an institution of postsecondary education against the alleged perpetrator of such crime or offense with respect to the alleged crime or offense;,5,"SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
ES-C2.3.5.5,ES-S2.3.5,DOC-ES,"Other Exceptions, bullet 5","To any third party the final results, as described in FERPA regulations, of a disciplinary proceeding conducted by an institution of postsecondary education against a student who is the alleged perpetrator of a crime of violence or non-forcible sex offense if the student is found by the institution to have violated its rules or policies as a result of the disciplinary proceeding, as long as the disclosure does not include the name of any other student, including a victim or witness, without the written consent of that other student;",5,"SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
ES-C2.3.5.6,ES-S2.3.5,DOC-ES,"Other Exceptions, bullet 6",To comply with a judicial order or a lawfully issued subpoena;,5,"SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
ES-C2.3.5.7,ES-S2.3.5,DOC-ES,"Other Exceptions, bullet 7",In connection with a health or safety emergency; and,5,"SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
ES-C2.3.5.8,ES-S2.3.5,DOC-ES,"Other Exceptions, bullet 8","To a parent of a student at an institution of postsecondary education regarding the student’s violation of any Federal, State, or local law, or of any rule or policy of the institution, governing the use or possession of alcohol or a controlled substance, where the institution determines that the student has committed a disciplinary violation with respect to that use or possession, and the student is under 21 years of age at the time of the disclosure to the parent.",5,"SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
ES-C3.1,ES-S3,DOC-ES,"Annual Notification of FERPA Rights, paragraph 1","Under FERPA, a school must annually notify eligible students of their rights under FERPA. The annual notification must include information regarding an eligible student’s right to inspect and review their education records, the right to seek to amend their records, the right to consent to disclosure of PII from their records (except in certain circumstances), and the right to file a complaint with SPPO regarding an alleged failure by a school to comply with FERPA. The notification must also inform eligible students of the school’s criteria for the terms “school official” and “legitimate educational interest” in certain instances. A school is not required to notify eligible students individually, but rather is required to provide the notice by any means that are reasonably likely to inform eligible students of their rights. These means could include publication in a school activities calendar, newsletter, student handbook, or on a school’s website.",5-6,"SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
ES-C4.0,ES-S4,DOC-ES,"Complaints, lead-in",Eligible students who believe that their FERPA rights may have been violated may file a complaint with SPPO at https://studentprivacy.ed.gov/file-a-complaint. SPPO will review the complaint to ensure that the complaint:,6,"SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
ES-C4.1,ES-S4,DOC-ES,"Complaints, criterion 1","Is filed, in writing, by an eligible student who maintains FERPA rights over the education records that are the subject of the complaint;",6,"SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
ES-C4.2,ES-S4,DOC-ES,"Complaints, criterion 2",Is submitted to SPPO within 180 days of the date of the alleged violation or of the date that the eligible student knew or reasonably should have known of the alleged violation; and,6,"SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
ES-C4.3,ES-S4,DOC-ES,"Complaints, criterion 3",Contains specific allegations of fact giving reasonable cause to believe that a violation of FERPA has occurred.,6,"SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
ES-C4.4,ES-S4,DOC-ES,"Complaints, resolution","SPPO will then make a case-by-case determination of the best mechanism for resolving the complaint. Sometimes the action will be an investigation, while for other complaints, consistent with the statute and applicable regulations, we will take other appropriate actions, such as acting as an intermediary or providing resolution assistance. More information regarding our complaint process is available at https://studentprivacy.ed.gov/file-a-complaint.",6,"SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
ES-C5.1,ES-S5,DOC-ES,"Additional Information, paragraph 1","For more information regarding FERPA and other student privacy issues, please visit our website at https://studentprivacy.ed.gov.",6,"SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
ES-C5.2,ES-S5,DOC-ES,"Additional Information, paragraph 2","If you have questions about FERPA that are not addressed here, you may also submit a question through our website at https://studentprivacy.ed.gov/contact, or write to SPPO for additional guidance at the following address: Student Privacy Policy Office, U.S. Department of Education, 400 Maryland Avenue, SW, Washington, DC 20202-8520",6,"SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
