clause_id,parent_id,label,citation,level,text,source_document
CL-6D-1,SUB-6D,(1),Section 6D(1),paragraph,"In the case of a Cybersecurity Event in a system maintained by a Third-Party Service Provider, of which the Licensee has become aware, the Licensee shall treat such event as it would under Section 6A.","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-6D-2,SUB-6D,(2),Section 6D(2),paragraph,"The computation of Licensee’s deadlines shall begin on the day after the Third-Party Service Provider notifies the Licensee of the Cybersecurity Event or the Licensee otherwise has actual knowledge of the Cybersecurity Event, whichever is sooner.","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-6D-3,SUB-6D,(3),Section 6D(3),paragraph,"Nothing in this Act shall prevent or abrogate an agreement between a Licensee and another Licensee, a Third-Party Service Provider or any other party to fulfill any of the investigation requirements imposed under Section 5 or notice requirements imposed under Section 6.","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-6E-1,SUB-6E,(1),Section 6E(1),paragraph,,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-6E-1-a,CL-6E-1,(a),Section 6E(1)(a),subparagraph,"In the case of a Cybersecurity Event involving Nonpublic Information that is used by the Licensee that is acting as an assuming insurer or in the possession, custody or control of a Licensee that is acting as an assuming insurer and that does not have a direct contractual relationship with the affected Consumers, the assuming insurer shall notify its affected ceding insurers and the Commissioner of its state of domicile within 72 hours of making the determination that a Cybersecurity Event has occurred.","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-6E-1-b,CL-6E-1,(b),Section 6E(1)(b),subparagraph,The ceding insurers that have a direct contractual relationship with affected Consumers shall fulfill the consumer notification requirements imposed under [insert the state’s breach notification law] and any other notification requirements relating to a Cybersecurity Event imposed under Section 6.,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-6E-2,SUB-6E,(2),Section 6E(2),paragraph,,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-6E-2-a,CL-6E-2,(a),Section 6E(2)(a),subparagraph,"In the case of a Cybersecurity Event involving Nonpublic Information that is in the possession, custody or control of a Third-Party Service Provider of a Licensee that is an assuming insurer, the assuming insurer shall notify its affected ceding insurers and the Commissioner of its state of domicile within 72 hours of receiving notice from its Third-Party Service Provider that a Cybersecurity Event has occurred.","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-6E-2-b,CL-6E-2,(b),Section 6E(2)(b),subparagraph,The ceding insurers that have a direct contractual relationship with affected Consumers shall fulfill the consumer notification requirements imposed under [insert the state’s breach notification law] and any other notification requirements relating to a Cybersecurity Event imposed under Section 6.,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-8C-1,SUB-8C,(1),Section 8C(1),paragraph,"May share documents, materials or other information, including the confidential and privileged documents, materials or information subject to Section 8A, with other state, federal, and international regulatory agencies, with the National Association of Insurance Commissioners, its affiliates or subsidiaries, and with state, federal, and international law enforcement authorities, provided that the recipient agrees in writing to maintain the confidentiality and privileged status of the document, material or other information;","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-8C-2,SUB-8C,(2),Section 8C(2),paragraph,"May receive documents, materials or information, including otherwise confidential and privileged documents, materials or information, from the National Association of Insurance Commissioners, its affiliates or subsidiaries and from regulatory and law enforcement officials of other foreign or domestic jurisdictions, and shall maintain as confidential or privileged any document, material or information received with notice or the understanding that it is confidential or privileged under the laws of the jurisdiction that is the source of the document, material or information;","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-8C-3,SUB-8C,(3),Section 8C(3),paragraph,"May share documents, materials or other information subject to Section 8A, with a third-party service provider or vendor provided the third-party service provider or vendor agrees in writing to maintain the confidentiality and privileged status of the document, material or other information; and","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-8C-4,SUB-8C,(4),Section 8C(4),paragraph,May enter into agreements governing sharing and use of information consistent with this subsection.,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-9A-1,SUB-9A,(1),Section 9A(1),paragraph,"A Licensee with fewer than ten employees, including any independent contractors, is exempt from Section 4 of this Act;","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-9A-2,SUB-9A,(2),Section 9A(2),paragraph,"A Licensee subject to Pub.L. 104–191, 110 Stat. 1936, enacted August 21, 1996 (Health Insurance Portability and Accountability Act) that has established and maintains an Information Security Program pursuant to such statutes, rules, regulations, procedures or guidelines established thereunder, will be considered to meet the requirements of Section 4, provided that Licensee is compliant with, and submits a written statement certifying its compliance with, the same;","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
CL-9A-3,SUB-9A,(3),Section 9A(3),paragraph,"An employee, agent, representative or designee of a Licensee, who is also a Licensee, is exempt from Section 4 and need not develop its own Information Security Program to the extent that the employee, agent, representative or designee is covered by the Information Security Program of the other Licensee.","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
